(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00021703608>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007576465>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005664928>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=8.456901e-05>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0003817213>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00071924715>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=4.0861254e-05>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005677296>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00022785949>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011267413>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00041398744>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0017309687>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005834932>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0019996497>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0030664285>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00040905082>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00052798074>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00019681161>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0004991605>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.013220973>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0032569687>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010058418>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0001250722>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00023281967>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0017393804>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.013143331>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.007348633>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00084199023>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010352406>)
